"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Blueprints/Material_001.Material_001","21","15","15","1","19.959383","0","15"
"/Game/FlickerBPs/Blueprints/Material.Material","21","4","4","1","2.496076","0","4"
"/Game/FlickerBPs/Blueprints/eyeMat_textureCOords.eyeMat_textureCOords","21","4","4","1","2.590599","0","4"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","21","188","188","6","331.946136","0","188"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","102","102","1","138.055038","0","102"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","21","188","188","6","234.436447","0","188"
"/Interchange/gltf/M_Transmission.M_Transmission","21","72","72","2","143.795807","0","72"
"/Interchange/gltf/M_Sheen.M_Sheen","21","188","188","6","299.624237","0","188"
"/Game/Materials/crumblingLedgeMat.crumblingLedgeMat","21","2","2","1","0.590463","0","2"
"/Game/Materials/cicrlingLedge_Mat.cicrlingLedge_Mat","21","2","2","1","0.562445","0","2"
"/Game/Meshes/ledgeMaterial.ledgeMaterial","21","2","2","1","0.000000","0","2"
"/Game/FlickerBPs/Blueprints/metal.metal","21","4","4","1","1.218551","0","4"
"/Game/FlickerBPs/Blueprints/nonTransparentYellow.nonTransparentYellow","21","4","4","1","0.000000","0","4"
"/Interchange/gltf/M_Default.M_Default","21","188","188","6","267.328674","0","188"
"/Interchange/gltf/M_Unlit.M_Unlit","21","52","52","6","25.516075","0","52"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","42","42","1","57.387260","0","42"
"Globals","24","1241","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","24","2","2","1","1.063367","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","4","4","1","1.602889","0","4"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","24","2","2","1","1.299424","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","24","2","2","1","0.535119","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","1.060732","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","24","17","17","1","24.097502","0","17"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","28","28","3","20.950357","0","28"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","26","6","12.088907","0","26"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","1.406136","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","30","30","1","44.558880","0","30"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","24","20","20","1","26.377701","0","20"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","4","4","1","1.299595","0","4"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","1.605192","0","2"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","24","4","4","1","2.264885","0","4"
"/Interchange/gltf/M_Sheen.M_Sheen","24","188","188","6","288.621948","0","188"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","24","188","188","6","298.213623","0","188"
"/Game/Materials/straightLineMovingLedge_Mat.straightLineMovingLedge_Mat","24","2","2","1","1.098407","0","2"
"/Interchange/gltf/M_Default.M_Default","24","188","188","6","241.366760","0","188"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","24","4","4","1","3.118657","0","4"
"/Game/Materials/crumblingLedgeMat.crumblingLedgeMat","24","2","2","1","0.576338","0","2"
"/Game/Materials/cicrlingLedge_Mat.cicrlingLedge_Mat","24","2","2","1","0.566621","0","2"
"/Game/FlickerBPs/Blueprints/metal.metal","24","4","4","1","2.324210","0","4"
"/Game/FlickerBPs/Blueprints/eyeMat_textureCOords.eyeMat_textureCOords","24","4","4","1","2.353837","0","4"
"/Interchange/gltf/M_Unlit.M_Unlit","24","52","52","6","24.793776","0","52"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","24","30","30","1","38.969856","0","30"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","42","42","1","52.242451","0","42"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","102","102","1","136.125137","0","102"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","24","188","188","6","220.112518","0","188"
"/Interchange/gltf/M_Transmission.M_Transmission","24","72","72","2","137.457413","0","72"
"/Game/Blueprints/Material_001.Material_001","24","15","15","1","19.738853","0","15"
"/Game/FlickerBPs/Blueprints/nonTransparentYellow.nonTransparentYellow","24","4","4","1","2.369913","0","4"
"/Game/FlickerBPs/Blueprints/Material.Material","24","4","4","1","0.000000","0","4"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","10","10","1","7.515789","0","10"
"/Game/Meshes/trunkMaterial.trunkMaterial","24","2","2","1","1.180397","0","2"
"/Game/Materials/spikeTexture_Mat.spikeTexture_Mat","24","2","2","1","0.610854","0","2"
"/Game/Materials/metal.metal","24","4","4","1","1.182164","0","4"
"/Game/Materials/orbitingLedge_Mat.orbitingLedge_Mat","24","2","2","1","1.140407","0","2"
"/Game/Meshes/ledgeMaterial.ledgeMaterial","24","2","2","1","0.000000","0","2"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","7","7","1","2.659214","0","7"
"/Game/Materials/nonTransparentYellow.nonTransparentYellow","24","4","4","1","1.905319","0","4"
"/Game/Materials/Material.Material","24","4","4","1","0.566571","0","4"
"/Game/Meshes/Material_002.Material_002","24","2","2","1","0.000000","0","2"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","24","135","135","1","178.265671","0","135"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","24","8","8","1","3.949141","0","8"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","0.500528","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","30","30","1","41.952137","0","30"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","15","15","1","20.311922","0","15"
"/Game/Meshes/Material.Material","24","15","15","1","0.000000","0","15"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","24","60","60","1","85.627029","0","60"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","24","60","60","1","81.481071","0","60"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","24","60","60","1","0.000000","0","60"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","2","2","1","1.381481","0","2"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","2","2","1","0.537107","0","2"
"/Game/Materials/eyeMat_textureCOords.eyeMat_textureCOords","24","4","4","1","2.286025","0","4"
